职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,city
生物统计师/高级生物统计师(创新药),1.5万-3万,成都-武侯,3-5年,硕士,"['SAS', '数据建模', '流行病学', '生物医疗', '药物研究', '数据库构建', '药物临床研究']",苏州韬略生物科技股份有限公司,股份制企业 ,20-99人 ,成都
门店调研员,4千-6千,成都-青羊,不限,学历不限,['市场研究'],中企云商(北京)物流有限公司,国企 ,100-299人 ,成都
APP 全职投顾,8千-1.5万,成都-金牛,1-3年,本科,"['金融业', '投资分析', '行业分析', '股票市场', '债券市场', '证券从业资格证', '基金从业资格证', '证券投资咨询资格证']",四川大决策证券投资顾问有限公司,民营 ,300-499人 ,成都
医学统计师,2.1万-4万,成都-武侯,5-10年,硕士,"['临床数据分析', 'CRO', '生物工程', '临床试验']",天津凯诺医药科技发展有限公司,合资 ,500-999人 ,成都
市场研究经理,1万-1.5万,成都,3-5年,本科,"['市场研究', '行业研究', '定性研究', '定量研究', '市场信息收集', '渠道合作', '用户分析']",成都圣恩生物科技股份有限公司,民营 ,500-999人 ,成都
Power BI Lead,2万-3万,成都-武侯,10年以上,本科,"['报表开发', '数据可视化', 'Power BI', 'MySQL', 'SQL Server', 'POWER APPS', 'Vue', 'react']",友邦资讯科技（广州）有限公司,外商独资 ,1000-9999人 ,成都
市场调研员-成都,1万-1.7万元/月,成都-锦江,不限,中专/中技,['市场调研分析'],上海信天翁联业商务咨询有限公司,外商独资 ,100-299人 ,成都
A股波段操盘手（可异地线上）,1.5万-3万,成都-温江,1-3年,本科,"['投资分析', '基本面分析', '行业分析', '技术面分析', '股票市场', '宏观经济分析', '公司分析']",广西极犇私募基金有限公司,民营 ,20-99人 ,成都
投资顾问,4千-8千,成都-武侯,1-3年,本科,['证券机构'],金元证券,国企 ,1000-9999人 ,成都
投资顾问（引流型直播）,1万-2万,成都-武侯,1-3年,本科,"['金融业', '股票市场']",宏信证券有限责任公司成都锦晖西一街证券营业部,民营 ,1000-9999人 ,成都
财经讲师,9千-1.5万,成都-武侯,1-3年,大专,"['股票市场', '金融业', '行业分析', '投资分析', '证券从业资格证', '基金从业资格证', '证券投资咨询资格证']",财学堂,民营 ,100-299人 ,成都
证券实习生无责5000+提成+住宿+五险一金,6千-9千,成都-武侯,不限,大专,"['金融业', '证券从业资格证']",四川钱坤信息技术有限公司,民营 ,100-299人 ,成都
证券投资顾问,8千-1.2万,成都-龙泉驿,1-3年,本科,"['股票市场', '投资分析', '公司分析', '行业分析', '基本面分析', '技术面分析', '基金市场', '宏观经济分析']",首创证券股份有限公司,国企 ,1000-9999人 ,成都
Senior SAS Programmer,1.3万-1.8万,成都-双流,3-5年,本科,"['CRO', '临床数据分析', 'SAS熟练']",南京立顺康达医药科技有限公司,外商独资 ,500-999人 ,成都
证券投资顾问-投顾专员-六险一金-双休,8千-1.2万,成都-武侯,3-5年,本科,"['证券机构', '证券投资', '理财投资', '证券从业资格证', '证券投资顾问']",北京中富金石咨询有限公司四川分公司,民营 ,100-299人 ,成都
策略规划员,8千-1万,成都-武侯,1-3年,大专,"['经济研究', '技术面研究', '期货研究', '证券研究']",四川艾西亚科技有限公司,民营 ,20-99人 ,成都
财经直播讲师,2万-3万,成都-金牛,1-3年,本科,"['股票市场', '基本面分析', '行业分析', '技术面分析', '证券投资咨询资格证']",四川未来之星网络科技有限公司,民营 ,20-99人 ,成都
证券投资顾问-投顾专员-六险一金-双休,8千-1.5万,成都-武侯,3-5年,本科,"['证券机构', '证券投资', '理财投资', '证券从业资格证', '证券投资顾问']",北京中富金石咨询有限公司四川分公司,民营 ,100-299人 ,成都
投资顾问,6千-1.2万,成都-武侯,1-3年,本科,"['投资分析', '股票市场']",国海证券,上市公司 ,1000-9999人 ,成都
高级PowerBI工程师,2.5万-3.5万,成都-武侯,10年以上,本科,['Power BI'],友邦资讯科技（广州）有限公司,外商独资 ,1000-9999人 ,成都
市场调研员-成都,7千-1.3万元/月,成都-锦江,不限,中专/中技,"['市场研究', '兼职']",上海信天翁联业商务咨询有限公司,外商独资 ,100-299人 ,成都
财经直播老师,2万-3万,成都-武侯,3-5年,本科,"['投资分析', '金融业', '证券从业资格证', '基金从业资格证', '股票市场', '基金市场', '证券投资咨询资格证', '证券分析师资格证']",四川钱坤信息技术有限公司,民营 ,100-299人 ,成都
厨务顾问,2万-4万,成都-青羊,10年以上,本科,"['市场研究', '餐饮市场', '厨务支持']",欣和企业,外商独资 ,1000-9999人 ,成都
市场调研员-成都,6千-1.1万元/月,成都-金牛,不限,中专/中技,['市场调研分析'],上海信天翁联业商务咨询有限公司,外商独资 ,100-299人 ,成都
评级业务总监,2万-3万,成都-金牛,5-10年,硕士,"['投资分析', '风险分析', '量化分析']",大普信用评级股份有限公司,民营 ,20-99人 ,成都
民生证券四川分公司-财富顾问,8千-1.5万,成都-武侯,1-3年,本科,"['股票市场', '基金市场', '金融业', '投资分析', '债券市场']",民生证券,股份制企业 ,1000-9999人 ,成都
投资顾问,7千-1.4万,成都-武侯,1-3年,本科,"['金融业', '股票市场', '债券市场', '基金市场', '期货市场', '市场环境']",中泰证券,国企 ,1000-9999人 ,成都
SAS程序员/高级程序员（FSP）,1.4万-2万,成都-武侯,3-5年,本科,"['SAS', '生物统计师', '程序员']",诺思格(北京)医药科技股份有限公司,合资 ,1000-9999人 ,成都
财经直播讲师,1.5万-3万,成都-金牛,3-5年,本科,"['股票市场', '基本面分析', '宏观经济分析', '行业分析', '证券从业资格证', '证券投资咨询资格证']",四川大决策证券投资顾问有限公司,民营 ,300-499人 ,成都
市场调研员-成都,7千-1.4万元/月,成都-双流,不限,中专/中技,['市场调研分析'],上海信天翁联业商务咨询有限公司,外商独资 ,100-299人 ,成都
客研经理,1.8万-2.5万,成都-青羊,5-10年,本科,"['市场研究', '用户调研', '用户分析']",中铁置业集团贵州有限公司,国企 ,500-999人 ,成都
高级生物统计经理,3万-4.5万,成都-锦江,5-10年,本科,"['药物临床研究', '临床试验']",斯丹姆,民营 ,1000-9999人 ,成都
市场调研员/暗访人员-成都,7千-1.3万元/月,成都-武侯,不限,中专/中技,['市场调研分析'],上海信天翁联业商务咨询有限公司,外商独资 ,100-299人 ,成都
立项专员/经理,1.5万-3万,成都-青羊,3-5年,本科,"['市场运营', '市场策划', '市场调研', '医药制造', '国内市场']",好医生集团,民营 ,10000人以上 ,成都
IC经理,1.5万-2万,成都-锦江,3-5年,本科,"['经济研究', '企业研究', '基金研究', '银行研究', '房地产', '建筑业', '基金从业资格证']",北京金诺信诚基金管理有限公司,其它 ,100-299人 ,成都
