职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,city
销售数据分析,1.2万-1.8万,上海,3-5年,本科,"['IT/互联网', 'Java', 'Python', 'SPSS', 'SAS', 'Stata', '批发/零售', '餐饮业']",云竞(上海)电子科技有限公司,民营 ,500-999人 ,上海
金融数据分析师,1.6万-1.8万,上海-黄浦,3-5年,本科,"['银行数据分析', '投融资数据分析', 'SQL', 'Python', '决策树']",北京戌华防务技术有限公司,民营 ,100-299人 ,上海
酒店财务数据分析,1.2万-1.5万,上海,3-5年,本科,['Power BI'],上海锦江国际酒店股份有限公司第一分公司,国企 ,100-299人 ,上海
数据分析经理,1.5万-1.8万,上海-徐汇,5-10年,本科,"['SQL', 'R', '数学/统计学专业', '线下零售', '餐饮业']",达美乐比萨,外商独资 ,500-999人 ,上海
IT校招-数据分析师(J13446),1万-2万,上海-青浦,不限,本科,"['Python', 'Tableau', '运营数据分析']",中通快递,股份制企业 ,10000人以上 ,上海
数据分析专员,7千-1万,上海-金山,1-3年,本科,[],立邦投资有限公司,外商独资 ,10000人以上 ,上海
供应链数据分析专员,9千-1.2万,上海,3-5年,本科,"['数据分析', '供应链']",爱谱华顿,合资 ,1000-9999人 ,上海
数据分析师,7千-1万,上海-杨浦,1-3年,大专,"['数据分析', '商业分析', '数据采集', '数据清洗']",科瓴医疗,民营 ,20-99人 ,上海
数据分析专员,6千-8千,上海-金山,1-3年,大专,['制造业'],立邦投资有限公司,外商独资 ,10000人以上 ,上海
大数据分析专员,8千-1.5万,上海-浦东,3-5年,大专,['数据运营'],爱谱华顿,合资 ,1000-9999人 ,上海
数据分析师,8千-1万,上海-浦东,1-3年,大专,"['数据分析', '大数据分析']",上海菁淇信息科技有限公司,合资 ,100-299人 ,上海
数据分析师,7千-9千,上海-浦东,不限,大专,"['机器学习', '回归算法', '分类算法', '决策树', '神经网络', '关联分析', '协同过滤']",北京京铭宏硕科技有限公司,民营 ,100-299人 ,上海
数据分析（销售支持）,6千-1万,上海,1年以下,本科,"['数据分析', '统计学', '销售业务数据']",旺旺集团,上市公司 ,10000人以上 ,上海
销售数据分析,8千-1万,上海-徐汇,1-3年,本科,['excel'],安易行(常州)新能源科技有限公司,民营 ,500-999人 ,上海
数据分析助理（有上进心）,8千-9千,上海-浦东,1-3年,本科,"['数据采集', '数据平台']",湖南云郡网络科技有限公司,外商独资 ,100-299人 ,上海
数据分析专员,8千-1.2万,上海,1-3年,本科,['数据分析'],南京飞勒克工业设备有限公司,外商独资 ,100-299人 ,上海
数据分析工程师,7千-9千,上海-长宁,不限,大专,"['做五休二', '高温费', '年终奖', '一对一带教']",上海境安环境检测技术有限公司,民营 ,20-99人 ,上海
初级数据产品经理/分析师,8千-1.3万,上海-黄浦,不限,大专,"['SQL', 'excel']",北京笃信科技有限公司,其它 ,20-99人 ,上海
综合月薪9000起 数据分析助理,1万-2万,上海-徐汇,不限,本科,['没有PUA，下班就走'],安徽泰沃兆斯信息科技有限公司,股份制企业 ,100-299人 ,上海
数据分析专员,9千-1.5万,上海,1-3年,本科,"['数据分析', '数据挖掘', 'SQL']",南京飞勒克工业设备有限公司,外商独资 ,100-299人 ,上海
商业数据分析,9千-1.5万,上海-普陀,不限,硕士,"['SPSS', '管理咨询工作经验', 'Power-BI', 'SQL', 'Python']",上海安点企业管理咨询有限公司,民营 ,20-99人 ,上海
数据分析助理(接受无经验),1.2万-1.5万,上海-奉贤,1-3年,本科,"['行业分析', '运营数据分析', '商业数据分析', '销售数据分析']",上海峪诚东信息科技有限公司,民营 ,300-499人 ,上海
数据分析（储备干部）,1.1万-2.1万,上海-奉贤,无经验,硕士,['质量管理类数据分析'],海亮集团,民营 ,10000人以上 ,上海
数据分析运营,1万-1.5万,上海-浦东,不限,本科,"['SQL', 'R']",思特奇,上市公司 ,1000-9999人 ,上海
数据分析专员,8千-1.5万,上海-静安,1-3年,本科,"['Power BI', '财务数据分析']",多特瑞(上海)商贸有限公司,外商独资 ,100-299人 ,上海
数据分析助理（双休）,1万-1.6万,上海-浦东,不限,本科,"['数据平台', '数据采集']",杭州烛名科技有限公司,民营 ,100-299人 ,上海
数据分析专员,150-200/天,上海-闵行,无经验,本科,[],旺旺集团,上市公司 ,10000人以上 ,上海
数据分析,6千-8千,上海,不限,本科,['无'],上海市住房和城乡建设管理委员会人才开发评价中心,事业单位 ,20-99人 ,上海
数据分析师,8千-1.5万,上海-杨浦,3-5年,本科,"['分类算法', '方差分析', '多元统计分析', '商业数据分析', '运营数据分析', '销售数据分析', '财务数据分析']",上汽大通房车科技有限公司,国企 ,500-999人 ,上海
数据分析师,8千-1.5万,上海-徐汇,3-5年,本科,"['运营数据分析', '销售数据分析']",科华生物,上市公司 ,1000-9999人 ,上海
数据分析岗,6千-8千,上海-浦东,不限,大专,"['数据分析', 'SPSS', '数据挖掘', 'Python', '机器学习', '数据建模', '数据治理', '行业分析']",上海数治数据科技有限公司,民营 ,20-99人 ,上海
数据分析助理,5千-9千,上海-浦东,不限,大专,"['深度学习', '决策树', '神经网络', '行业分析', '运营数据分析', '商业数据分析']",北京京铭宏硕科技有限公司,民营 ,100-299人 ,上海
管理培训生（数据分析）,5千-7千,上海-闵行,不限,本科,['销售数据分析'],太平洋保险在线服务科技有限公司上海分公司,国企 ,10000人以上 ,上海
数据分析师,8千-1.6万,上海-浦东,1-3年,本科,"['数据分析', '机器学习', '决策树', 'SQL', 'SAS', 'Python']",中联惠捷信息技术有限公司,民营 ,500-999人 ,上海
数据分析主管,1.2万-1.8万,上海-徐汇,不限,本科,"['Java', 'Python', 'SQL', 'R语言', 'SAS']",上海海天医药科技开发有限公司,上市公司 ,1000-9999人 ,上海
数据分析与挖掘,8千-1万,上海-静安,1-3年,本科,"['Python', 'MySQL']",上海克而瑞信息技术有限公司,外商独资 ,1000-9999人 ,上海
市场数据分析,5千-1万,上海-普陀,不限,大专,"['市场研究', '用户调研', '行业研究', '企业调研', '用户分析', '市场信息收集', '全职']",娇盈国际贸易(上海)有限公司,民营 ,20人以下 ,上海
数据分析员8K底薪保障+入职带薪提供住宿,1万-1.4万,上海-浦东,不限,大专,"['运营数据分析', '销售数据分析', '行业分析', '商业数据分析', '多元统计分析', '运营专员', '风控数据分析', '舆情分析']",上海太屋网络科技有限公司,民营 ,1000-9999人 ,上海
数据分析师,9千-1.4万,上海-浦东,1-3年,大专,"['Java', 'SPSS', 'Power BI', '深度学习']",北京新致君阳信息技术有限公司,合资 ,1000-9999人 ,上海
初级数据分析师(J10989),8千-1万,上海-普陀,1-3年,本科,"['Python', 'SQL', 'SPSS', 'SAS', 'Power BI', 'Tableau', '商业数据分析', '运营数据分析']",特朗思大宇宙,外商独资 ,1000-9999人 ,上海
数据分析经理,6千-1万,上海-徐汇,1-3年,大专,['销售数据分析'],百玺(上海)企业管理有限公司,民营 ,100-299人 ,上海
市场数据通报/分析,6千-1万,上海,1-3年,本科,"['行业分析', '数据建模', '商业分析', '数据采集']",旺旺集团,上市公司 ,10000人以上 ,上海
BI/数据分析顾问(J13215),8千-1.3万,上海-青浦,1-3年,本科,"['数据仓库', 'Power BI', 'FineBI', 'Kettle', 'Oracle', 'MySQL']",汉得信息,上市公司 ,10000人以上 ,上海
大数据分析,1万-1.2万,上海-徐汇,不限,硕士,"['运营数据分析', '销售数据分析', '商业数据分析', '行业分析']",上海回力鞋业有限公司,国企 ,20-99人 ,上海
数据分析助理,6千-8千,上海-徐汇,不限,本科,['数据分析'],上海思勃商务咨询有限公司,民营 ,20-99人 ,上海
数据分析岗(J12829),面议,上海-浦东,3-5年,本科,['运营数据分析'],东北证券,上市公司 ,1000-9999人 ,上海
贷后数据分析岗（上海）,1万-2万,上海,1-3年,本科,"['贷后管理', '数据分析', 'SAS', 'SQL', 'Python']",太平洋产险,股份制企业 ,10000人以上 ,上海
管培生（数据分析处理）,8千-1.5万,上海,1-3年,本科,['销售数据分析'],科隆测量仪器(上海)有限公司,外商独资 ,100-299人 ,上海
数据分析师,1万-1.5万,上海-浦东,1-3年,大专,"['数据分析', 'SQL', 'Oracle', 'MySQL']",中讯志远(武汉)科技有限公司,民营 ,100-299人 ,上海
数据分析师,1万-1.5万,上海,1-3年,本科,"['数据统计分析', 'Python', 'SQL']",南京飞勒克工业设备有限公司,外商独资 ,100-299人 ,上海
数据分析,1.4万-2.8万,上海-浦东,1-3年,本科,['Python'],中电金信软件有限公司,国企 ,10000人以上 ,上海
数据分析师 (MJ002047),1万-2万,上海,不限,硕士,['Python'],上海东证期货有限公司,国企 ,500-999人 ,上海
数据分析师,1万-2万,上海-闵行,不限,本科,"['Python', 'SQL']",上海挖豆信息科技有限公司, ,20人以下 ,上海
市场产品专员（数据分析）,6千-1万,上海,不限,本科,['广告'],德高广告（上海）有限公司,外商独资 ,1000-9999人 ,上海
数据分析专员-汉高施华蔻外包项目,9千-1万,上海-杨浦,1-3年,大专,['数据分析'],电声股份,合资 ,1000-9999人 ,上海
数据中心运行和大数据分析,1.3万-2万,上海-浦东,不限,硕士,"['Python', 'C++']",中国科学院上海高等研究院,事业单位 ,500-999人 ,上海
数据分析员,6千-8千,上海-闵行,1-3年,本科,"['商业数据分析', '行业分析', 'SPSS', 'SAS']",旺旺集团,上市公司 ,10000人以上 ,上海
数据分析师,8千-1.4万,上海-黄浦,1-3年,本科,"['Python', '机器学习', '销售数据分析', '运营数据分析', '商业数据分析']",深圳市申河信息科技有限公司,民营 ,20-99人 ,上海
风险数据分析师,1.2万-2.4万,上海,1-3年,本科,"['机器学习', '风控数据分析', '统计', 'Python', 'SQL']",秩数(上海)信息技术有限公司, ,20人以下 ,上海
数据分析师 (MJ006567),1万-1.5万,上海-浦东,1-3年,本科,"['Python', 'SQL']",微创医疗,外商独资 ,1000-9999人 ,上海
数据分析员,8千-1.3万,上海-浦东,1-3年,本科,"['SQL', 'SPSS', 'SAS', 'Python']",南京飞勒克工业设备有限公司,外商独资 ,100-299人 ,上海
职业教育数据分析师,5千-1万,上海-普陀,不限,大专,"['产业发展数据分析', '职业教育数据分析', '产教融合', '职业教育']",江苏中教科信息技术有限公司,民营 ,20-99人 ,上海
数据分析师,1.4万-2.2万,上海-黄浦,3-5年,本科,[],亚信科技,民营 ,10000人以上 ,上海
数据分析运营,8千-1万,上海-静安,1-3年,本科,"['行业数据分析', '数据采集', '商业数据分析', '经营数据分析', '市场数据分析', 'Power BI']",上海兼达信息技术服务有限公司,民营 ,100-299人 ,上海
powerBI数据分析工程师,1.2万-1.6万,上海-静安,1-3年,本科,['Power BI'],敏捷艾科,民营 ,20-99人 ,上海
数据分析专员,8千-1.3万,上海,1-3年,本科,"['行业数据分析', 'BI报表', '平台数据分析']",立邦投资有限公司,外商独资 ,10000人以上 ,上海
数据分析师,3万-6万,上海,不限,本科,"['Java', 'SQL']",拼多多,民营 ,1000-9999人 ,上海
数据分析师,9千-1.2万,上海,1-3年,本科,"['SQL Server', 'Oracle', 'SQL']",立信会计师事务所（特殊普通合伙）,民营 ,1000-9999人 ,上海
金融数据分析师,1.2万-2万,上海-普陀,1-3年,本科,"['SQL', 'Python', '金融数据分析']",上海汇正财经顾问有限公司,民营 ,500-999人 ,上海
航运数据分析助理,7千-1万,上海-浦东,1-3年,本科,"['SQL', 'Python', '机器学习', '金融数据分析', '商业数据分析', '行业分析']",上海迈利船舶科技有限公司,民营 ,20-99人 ,上海
数据分析岗/业务督导,1万-1.5万,上海-浦东,1-3年,本科,"['SAS', '商业数据分析', '运营数据分析', '销售数据分析']",淮安市安纳杰管理咨询有限公司,民营 ,10000人以上 ,上海
数据分析,1.7万-2.5万,上海-闵行,3-5年,本科,"['销售数据分析', '运营数据分析', '财务数据分析']",上海酪神世家健康科技发展有限公司,民营 ,100-299人 ,上海
数据分析师 (MJ016806),1.2万-1.5万,上海-长宁,1-3年,本科,['运营数据分析'],携程计算机技术(上海)有限公司,上市公司 ,10000人以上 ,上海
客户数据应用分析岗,1.1万-1.5万,上海-浦东,无经验,硕士,"['Python', 'R语言', 'SAS']",中国大地财产保险股份有限公司,国企 ,10000人以上 ,上海
数据分析师（销售分析）,1.3万-2.5万,上海-浦东,3-5年,本科,"['SQL', '商业数据分析', '运营数据分析', '销售数据分析']",云竞(上海)电子科技有限公司,民营 ,500-999人 ,上海
数据分析,1.1万-1.6万,上海-浦东,3-5年,本科,[],燕梭金融信息科技(上海)有限公司,民营 ,100-299人 ,上海
数据分析（上海）,1.2万-1.6万,上海-虹口,3-5年,大专,"['Power BI', '数据报表', '需求分析']",南京迈特望科技股份有限公司,股份制企业 ,1000-9999人 ,上海
数据建模分析师,1.2万-1.6万,上海-浦东,不限,硕士,"['数据建模', '数据分析', '机器学习', '文本挖掘', 'R语言', 'Python']",上海数治数据科技有限公司,民营 ,20-99人 ,上海
数据分析经理G000662,2万-3万,上海-长宁,5-10年,本科,['数据分析'],CoCo都可,外商独资 ,10000人以上 ,上海
数据分析师（上海）,1.5万-1.8万,上海-虹口,5-10年,本科,"['数据分析', '数仓报表']",南京迈特望科技股份有限公司,股份制企业 ,1000-9999人 ,上海
数据分析师,8千-1.4万,上海-黄浦,1-3年,本科,"['Python', '机器学习', '销售数据分析', '运营数据分析', '商业数据分析']",深圳市申河信息科技有限公司,民营 ,20-99人 ,上海
数据应用分析经理,1.3万-2.6万,上海-浦东,5-10年,本科,"['商业数据分析', '金融数据分析']",交银企业管理服务(上海)有限公司张江高科技园区分公司,国企 ,1000-9999人 ,上海
数据分析师,1万-1.5万,上海-杨浦,3-5年,本科,"['Python', 'R语言', 'SQL', 'Shell', 'Power BI', 'Tableau', 'Oracle Hyperion', '运营数据分析', '行业分析']",亚信科技,民营 ,10000人以上 ,上海
金融数据分析师,5千-7千,上海-黄浦,无经验,本科,['金融数据分析'],中诚信国际信用评级有限责任公司,合资 ,500-999人 ,上海
数据分析实习生,130-200/天,上海-徐汇,无经验,本科,"['Python', 'SQL', 'SPSS']",经纬恒润,民营 ,1000-9999人 ,上海
数据分析经理（治理方向）,1.6万-3万,上海-浦东,3-5年,本科,"['数据分析', '数据集市', '数据挖掘', 'BI']",上海交银信息数据有限公司,国企 ,1000-9999人 ,上海
PowerBI数据分析师-汉高施华蔻外包项目,1.2万-1.3万,上海-杨浦,1-3年,大专,['POWERBI数据分析'],电声股份,合资 ,1000-9999人 ,上海
数据分析实习生,150-200/天,上海-徐汇,无经验,本科,['数据分析'],中电金信软件有限公司,国企 ,10000人以上 ,上海
数据分析师,1.2万-1.5万,上海-宝山,1-3年,本科,"['Python', 'SQL', 'Shell', 'Power BI', 'Oracle Hyperion', '决策树', '商业数据分析', '舆情分析']",上海二十冶建设有限公司,国企 ,1000-9999人 ,上海
管培生（数据分析）,8千-1.3万,上海,1年以下,硕士,"['数据统计分析', '策划', '市场营销']",上海天籍信息科技有限公司,民营 ,20-99人 ,上海
数据分析 BA,1万-1.5万,上海-静安,1-3年,大专,"['行业分析', 'Python', '需求分析', '可视化分析']",上海赞魅国际物流有限公司,民营 ,20-99人 ,上海
大数据分析师(12-16K),1.3万-1.8万,上海-静安,不限,大专,"['教育培训', '医疗健康']",上海颇柳信息科技有限公司,民营 ,20-99人 ,上海
数据分析师,1.5万-3万,上海-杨浦,3-5年,本科,"['商业数据分析', '销售数据分析']",上海睿沃信息科技有限公司,民营 ,20-99人 ,上海
数据分析师,7千-1.4万,上海-浦东,1-3年,本科,"['Python', '商业数据分析', '运营数据分析', '销售数据分析', '行业分析', '广告分析', '数据爬取']",上海元雀信息科技有限公司,民营 ,20-99人 ,上海
数据调查分析（实习岗）,150-200/天,上海-浦东,无经验,本科,"['数据分析', 'SPSS', '机器学习', '数据建模', 'Python', '数据挖掘', '数据治理', '行业分析']",上海数治数据科技有限公司,民营 ,20-99人 ,上海
数据分析,8千-1.5万,上海,不限,本科,"['生物统计学', '英语', 'SAS']",上海馥盾检测技术有限公司,民营 ,20人以下 ,上海
行政助理+数据分析师+职业经纪人,8千-1.6万,上海-静安,不限,本科,"['装修/搬迁经验', '互联网企业经验', '熟悉物业管理', '固定资产管理经验', '办公用品采购经验', '集团公司经验']",上海链家地产,民营 ,10000人以上 ,上海
数据分析师,3万-6万,上海-长宁,不限,本科,['Python'],拼多多,民营 ,1000-9999人 ,上海
数据运营分析,1万-1.5万,上海-浦东,1-3年,本科,"['电商数据运营', '商业数据分析', '行业数据分析', '策略运营', '销售数据运营', '经营数据分析', '市场数据分析', '增长运营']",南京飞勒克工业设备有限公司,外商独资 ,100-299人 ,上海
汽车电子工程师转行数据分析师/上海,8千-1.5万,上海-黄浦,不限,大专,"['汽车硬件开发', '车辆测试']",51Testing,民营 ,100-299人 ,上海
高级数据分析师（数据科学）,1万-2万,上海,1-3年,本科,"['商业分析', '数据挖掘', 'Python', '数据建模', '机器学习', '商业智能']",上海衍梓智能科技有限公司,民营 ,20-99人 ,上海
数据分析师,1.2万-1.6万,上海-虹口,3-5年,大专,"['Power BI', '报表开发', '数据开发', '数据处理', 'COGNOSE BI']",南京迈特望科技股份有限公司,股份制企业 ,1000-9999人 ,上海
数据分析师,3万-6万,上海,不限,本科,"['商业数据分析', '电商数据分析', '游戏数据分析', 'Hive']",拼多多,民营 ,1000-9999人 ,上海
闪光的实习-数据分析,面议,上海-徐汇,无经验,本科,[],宝马(中国)服务有限公司,外商独资 ,1000-9999人 ,上海
药企（数据分析）,1.7万-1.9万,上海-静安,3-5年,本科,['财务数据分析'],印孚瑟斯技术（中国）有限公司杭州研发中心,外商独资 ,1000-9999人 ,上海
机械工程师转数据分析师/上海,8千-1.2万,上海-黄浦,不限,大专,"['Python', '数据挖掘', '数据清洗', '数据采集', '反爬虫', '分布式爬虫', '爬虫开发']",51Testing,民营 ,100-299人 ,上海
数据分析实习生,120-150/天,上海-静安,无经验,本科,['Power BI'],多特瑞(上海)商贸有限公司,外商独资 ,100-299人 ,上海
数据应用分析经理（对公方向）,1.3万-2.6万,上海-浦东,5-10年,本科,"['商业数据分析', '金融数据分析']",交银企业管理服务(上海)有限公司张江高科技园区分公司,国企 ,1000-9999人 ,上海
数据分析师/专家,2.5万-5万,上海-杨浦,3-5年,本科,"['SQL', 'Hive', 'R语言', 'Python', '商业数据分析', '业务数据分析']",烟台昌德企业管理咨询有限公司,民营 ,100-299人 ,上海
瑞典汽车品牌—直售数据分析专员,1.5万-2万,上海-虹口,3-5年,本科,"['excel', 'Power BI', 'Tableau', 'SQL', 'SPSS', 'Python']",上海中智项目外包咨询服务有限公司,国企 ,1000-9999人 ,上海
数据分析师,1.5万-2.5万,上海-杨浦,5-10年,本科,"['Tableau', 'Cognos', 'SQL']",上海睿沃信息科技有限公司,民营 ,20-99人 ,上海
数据分析主管,1.5万-3万,上海-长宁,3-5年,本科,['运营数据分析'],天鲜配(上海)供应链科技有限公司,股份制企业 ,100-299人 ,上海
数据分析/项目支持-供应链方向（500强美资）,1万-2万,上海-浦东,1-3年,本科,"['数据分析', '项目管理', '供应链', 'SAP', 'excel', 'Power BI', 'Tableau', 'SPSS']",上海中智项目外包咨询服务有限公司,国企 ,1000-9999人 ,上海
小狼计划-IT方向(数据分析)(A168574),9千-1万,上海-长宁,无经验,本科,['IT'],上海贝泰妮生物科技有限公司,合资 ,1000-9999人 ,上海
资深数据分析师 - BI分析师(A254415),3万-5万,上海-闵行,5-10年,本科,"['Python', '关联分析']",蔚来汽车,上市公司 ,10000人以上 ,上海
咨询顾问（数据分析）,1万-1.5万,上海-浦东,不限,硕士,['咨询顾问'],上海浦东新区人才市场有限公司,国企 ,100-299人 ,上海
经营数据分析师（网络金融）,1.5万-2万,上海-长宁,5-10年,本科,"['SQL', '运营数据分析', '商业数据分析']",交银企业管理服务(上海)有限公司张江高科技园区分公司,国企 ,1000-9999人 ,上海
数据应用分析岗,1.5万-2万,上海-黄浦,3-5年,本科,['SQL'],中银消费金融,合资 ,500-999人 ,上海
贷后数据分析师,1.5万-2.5万,上海-浦东,1-3年,本科,"['金融', '互联网']",海尔消费金融,合资 ,500-999人 ,上海
数据分析师,2万-2.5万,上海-静安,3-5年,本科,"['Python', 'SQL']",天津易商数科科技股份有限公司,民营 ,500-999人 ,上海
营销战略（数据分析）,7千-9千,上海-徐汇,不限,本科,"['营销策划', '品牌策划', '市场策划', '汽车行业']",韩泰轮胎,外商独资 ,1000-9999人 ,上海
财务数据分析师,1.2万-1.8万,上海-黄浦,3-5年,本科,"['销售数据分析', '运营数据分析', '商业数据分析', '财务数据分析']",上海道格医疗美容诊所有限公司,医院 ,100-299人 ,上海
财务专员/采购专员/数据分析专员（泰语/越南语/印尼语）,8千-9千,上海-浦东,不限,大专,"['泰语', '越南语', '印尼语', '马来语', '笔译', '越南语财务']",大连弗斯特高新人才发展管理有限公司,民营 ,100-299人 ,上海
金融数据分析师,1万-2万,上海-普陀,1-3年,本科,"['银行数据分析', '金融业', 'SmartBI']",乾溢金融信息服务(上海)有限公司,民营 ,20人以下 ,上海
数据分析师（市场）,1.5万-2万,上海-长宁,3-5年,本科,"['行业分析', '商业分析']",春秋航空,上市公司 ,1000-9999人 ,上海
电商大数据分析工程师,2.4万-4万,上海-长宁,3-5年,本科,"['Python', 'Power BI', '机器学习', '深度学习', '销售数据分析']",ZARA,外商独资 ,1000-9999人 ,上海
商业数据分析师（渠道投放）,2.2万-2.8万,上海,3-5年,本科,"['SQL', 'Tableau', '效度分析', 'Excel', 'Power-BI']",信也科技中国,民营 ,1000-9999人 ,上海
数据产品分析师,8千-1.2万,上海-浦东,1-3年,本科,"['商业数据分析', '运营数据分析', '数据银行生意参谋']",杭州戌月科技服务有限公司, ,20-99人 ,上海
数据策略分析师,2万-2.5万,上海-浦东,3-5年,本科,"['Python', 'SQL', 'SAS', '风控数据分析', '制定优化风险控制策略']",苏州美纳仕网络科技有限公司,民营 ,20人以下 ,上海
奢侈品 零售数据协调员 数据分析财务分析,9千-1万,上海-静安,1-3年,本科,"['数据分析', '零售门店']",任仕达企业管理(上海)有限公司深圳分公司,外商独资 ,100-299人 ,上海
点评商业分析专家/数据分析专家,面议,上海-杨浦,1-3年,本科,[],北京三快在线科技有限公司,上市公司 ,1000-9999人 ,上海
数据分析师（上海）,1.5万-2.2万,上海-浦东,1-3年,本科,"['回归算法', '行业分析', 'SQL']",北京清软创新科技股份有限公司,股份制企业 ,100-299人 ,上海
分析助理研究员（数据复核）,6千-9千,上海,1-3年,本科,"['理化分析', '仿制药']",上海博悦生物科技有限公司,民营 ,100-299人 ,上海
高级数据分析师,1.5万-2.5万,上海-闵行,3-5年,本科,"['行业分析', '运营数据分析', '人群分析']",乖宝宠物食品集团股份有限公司,股份制企业 ,1000-9999人 ,上海
机械维修保养转行BI商业数据分析/上海,8千-1.2万,上海-黄浦,不限,大专,"['CAD', '综合维修', '制冷设备维修', '医疗设备维修', '电气设备维修', '生产设备维修', '印刷设备维修', '机械设备维修']",51Testing,民营 ,100-299人 ,上海
数据分析总监,10万-20万,上海-嘉定,5-10年,本科,"['Python', 'SQL', 'Tableau']",深圳华夫科技有限公司,民营 ,100-299人 ,上海
文员数据分析员,100-120/天,上海-普陀,无经验,大专,"['数据判读', '文职工作']",上海保安,国企 ,10000人以上 ,上海
销售数据分析,面议,上海-杨浦,1-3年,本科,[],北京三快在线科技有限公司,上市公司 ,1000-9999人 ,上海
助理数据分析经理 ID146880,2.6万-3万,上海-静安,5-10年,本科,['运营数据分析'],酩悦轩尼诗帝亚吉欧洋酒(上海)有限公司,外商独资 ,500-999人 ,上海
数据分析师,4万-7万,上海-长宁,1-3年,硕士,"['SQL', 'Python', '商业数据分析', '运营数据分析', '机器学习', '多元统计分析', '因子分析']",拼多多,民营 ,1000-9999人 ,上海
2024 百威中国信息技术与数据分析管培生项目（非技术通道）,1.2万-1.8万,上海-黄浦,不限,学历不限,"['生产性采购', '非生产性采购', '大中型企业采购经验', '食品/饮料/烟酒', '英语可作为工作语言', '美妆日化', '居家日用']",百威投资(中国)有限公司,外商独资 ,10000人以上 ,上海
保障年薪10万起 互联网 数据分析 五险一金 大平台+置业顾问,8千-1.5万,上海-浦东,无经验,本科,"['全国', '房地产', '互联网金融', '贷款行业', '投资/理财', '网络/信息安全', '教育培训', '汽车']",上海链家地产,民营 ,10000人以上 ,上海
数据分析师（电商/零售）,1.5万-2.5万,上海-杨浦,5-10年,本科,['商业数据分析'],上海睿沃信息科技有限公司,民营 ,20-99人 ,上海
大数据机理模型分析工程师,1.5万-3万,上海-宝山,不限,本科,"['机理模型', '仿真算法', 'C++', 'R语言', 'Java', 'Python']",上海金亥通信设备有限公司,合资 ,100-299人 ,上海
互联网模式+数据分析师+带薪培训+保障薪资8K,6千-1.2万,上海-闵行,不限,本科,"['营销方向', '市场方向', '销售方向', '运营方向', '店长方向', '管培生', '储备干部']",上海链家地产,民营 ,10000人以上 ,上海
数据分析助理总监（销售分析方向）,2.6万-3.5万,上海-浦东,3-5年,本科,"['SQL', '批发/零售', '交通/物流', '餐饮业', '农/林/牧/渔']",云竞(上海)电子科技有限公司,民营 ,500-999人 ,上海
数据科学家/数据分析师-国际电商,1.5万-2.5万,上海,1-3年,本科,[],字节跳动,民营 ,10000人以上 ,上海
销售运营-数据分析 (MJ006273),1.5万-2.5万,上海-松江,3-5年,本科,['业务管理'],上海正泰电器国际贸易有限公司,民营 ,10000人以上 ,上海
数据需求分析人员,1.5万-3万,上海-浦东,3-5年,本科,"['Visio', 'Axure']",上海交银信息数据有限公司,国企 ,1000-9999人 ,上海
数据分析师,1.8万-2.5万,上海-杨浦,3-5年,本科,"['运营数据分析', '销售数据分析', '商业数据分析']",上海我爱我家,上市公司 ,10000人以上 ,上海
商业数据分析师,1万-1.5万,上海,1-3年,本科,"['洞察研究', '报告撰写', '数据分析', '商业']",上海宏原信息科技有限公司,民营 ,20-99人 ,上海
销售支持专员（账单及数据分析）,4千-6千,上海-青浦,1-3年,本科,"['销售数据分析', '账单']",上海绝配柔性供应链服务有限公司,民营 ,500-999人 ,上海
数据分析-金融方向,2.5万-5万,上海-杨浦,3-5年,本科,"['Power BI', 'SQL', 'excel', '商业数据分析', '运营数据分析', '金融数据分析', '财务数据分析']",烟台昌德企业管理咨询有限公司,民营 ,100-299人 ,上海
数据分析师,150-200/天,上海-杨浦,无经验,学历不限,"['数据分析', 'MATLAB', 'R语言', 'SQL', 'Python', '商业数据分析', '市场数据分析', '金融数据分析']",杭州拓端数据科技有限公司,民营 ,20人以下 ,上海
数据分析和算法工程师主管,1.5万-2.5万,上海-浦东,5-10年,本科,"['Python', 'R语言', '深度学习', '算法开发', '算法设计']",有数云集生物科技(上海)有限公司,民营 ,20人以下 ,上海
风控数据分析师,2万-3万,上海-浦东,3-5年,本科,"['金融数据分析', '风控数据分析']",康嘉信息,民营 ,20-99人 ,上海
J54XB72-总行零售金融部科技管理岗（数据分析）,面议,上海-黄浦,1-3年,本科,['银行'],上海农商银行,国企 ,1000-9999人 ,上海
数据分析 线上运营 地铁口 门店销售合理利用VR高科技 上市公司,8千-1.6万,上海,不限,本科,"['物联网', '房地产', '物业服务', '贷款行业', '银行', '投资/理财', '面销', '电销']",上海链家地产,民营 ,10000人以上 ,上海
大数据分析师（监管报送方向）,2万-4万,上海-浦东,3-5年,本科,"['SQL', 'Python', 'Hadoop', 'MapReduce', 'Hive', 'Pandas', 'HDFS']",中邮邮惠万家银行有限责任公司,国企 ,100-299人 ,上海
数据分析师（金融方向）,1.5万-2.5万,上海-杨浦,5-10年,本科,"['金融数据分析', '财务数据分析']",上海睿沃信息科技有限公司,民营 ,20-99人 ,上海
渠道数据分析师（网络金融）,1.5万-2万,上海-长宁,5-10年,本科,"['数据分析', '商业分析', 'Tableau']",交银企业管理服务(上海)有限公司张江高科技园区分公司,国企 ,1000-9999人 ,上海
