岗位名称,薪资,工作地点,工作经验,学历要求,企业,岗位需求,公司类型,岗位需求人数,企业服务
软件开发,2万-4万,深圳·龙岗·坂田,经验不限,本科,内蒙古重晟信息技术服务有限公司,"Python, C, C++, 大数据, 前端, Java",民营,20-99人,互联网
java大数据开发,1.2万-1.6万,深圳·南山·南山,3-5年,本科,芯知科技(江苏)有限公司,"ETL, Java, Spark, Flink, 数据库开发",民营,500-999人,计算机软件
数据/商业分析师,3万-5万·15薪,深圳·南山·西丽,3-5年,本科,成都太能蜗客人力资源管理有限公司,SQL,其它,500-999人,IT服务
数仓模型设计（银行项目-贵阳）,1.5万-2.5万,深圳·南山·粤海,10年以上,本科,瑞和數智科技控股有限公司,"数据建模, 数仓开发, ETL开发, Python, Hive sql, Oracle, , , , , ",上市公司,500-999人,云计算/大数据
数据开发（保险行业）,1.5万-2万,深圳·南山·南山,5-10年,大专,深圳市法本信息技术股份有限公司,"数据仓库, 数据建模, Hadoop, BI",上市公司,1000-9999人,计算机软件
大数据迁移工具测试,面议,深圳·龙岗·坂田,经验不限,本科,中软国际,"自动化测试, Java, linux, Jmeter, 大数据测试",上市公司,10000人以上,计算机软件
Java JS 安全测试（要有开发能力）、算法、大数据开发,1.5万-3万·14薪,深圳·龙岗·坂田,经验不限,本科,外企德科数字技术有限公司,"Spring, MySQL",合资,10000人以上,人力资源服务
JAVA开发（双休）,1.1万-1.5万,深圳·龙岗·坂田,1-3年,本科,软通动力信息技术(集团)股份有限公司,"大数据, Spark, Python",民营,10000人以上,互联网
Java开发（有大数据技术栈项目经验优先）,1.9万-2.8万,深圳·宝安·新安,5-10年,本科,武汉佰钧成技术有限责任公司,"Spring, Java, MySQL, Oracle, hive, 大数据",民营,1000-9999人,计算机软件
数据应用开发岗,面议,深圳·南山·粤海,3-5年,本科,和泰人寿,"数据中台开发, 数据仓库, 数据建模, Python, Scala, Sql, , , ",股份制企业,100-299人,保险
BI SE,1.4万-2万,深圳·龙岗·坂田,5-10年,本科,软通动力信息技术(集团)股份有限公司,"SQL, 报表开发, 数据可视化, 数据仓库, Tableau, Oracle",民营,10000人以上,互联网
数据模型设计师（银行驻场项目-山东济南）,1.5万-2万,深圳·南山·粤海,5-10年,本科,瑞和數智科技控股有限公司,"数据建模, ETL开发, Hive sql, GaussDB, Oracle, Teradata, ",上市公司,500-999人,云计算/大数据
高级数据采集工程师,1.5万-1.8万,深圳·南山·粤海,5-10年,本科,北京金智创新科技有限公司,数据抽取,民营,100-299人,学术/科研
环境大数据工程师,1万-1.5万·13薪,深圳·南山·桃源,1-3年,硕士,南方科技大学,,事业单位,100-299人,培训/辅导服务
BI大数据培训讲师,1.5万-2.5万,深圳·南山·粤海,5-10年,学历不限,提昇教育科技(深圳)有限公司,"大数据分析, 大数据开发, MySQL, SQL Sever, Java",民营,20人以下,培训/辅导服务
大数据基础架构工程师,3.5万-4万,深圳·福田·福田街道,3-5年,本科,沂泽信息咨询有限公司北京分公司,大数据集群,大数据运维,20人以下,咨询服务
【2025应届】大数据开发工程师,6千-1.2万,天津·河东·上杭路,无经验,本科,中国通信建设集团设计院有限公司,数据库开发,国企,1000-9999人,运营商/增值服务
请大数据把这条招聘信息发给所有想找工作的人,3千-6千,天津·和平·小白楼,经验不限,中专/中技,天津航凡信息咨询有限公司,电话客服,全白班,20-99人,在线教育
数据标准上9下6+五险一金（5k）管住,4千-6千,天津·西青·张家窝,经验不限,大专,万古人力科技集团有限公司,"文本标注, 视频标注, 音频标注, 语音标注, 图像标注",民营,20-99人,人力资源服务
环境大数据分析工程师,8千-1万,天津·东丽·华明,1-3年,硕士,佳华科技,大气,民营,500-999人,云计算/大数据
服务集团-天津-资深大数据开发工程师(J75608),1.5万-2.5万,天津·南开·王顶堤,5-10年,本科,北京融创控股集团有限公司,大数据开发,股份制企业,10000人以上,房地产开发
100%精准数据（信贷顾问）轻松开单月入5w+,1.2万-2万,天津·和平·小白楼,经验不限,学历不限,天津众合快客信息科技有限公司,"贷款审核, 贷后管理, 销售, 电话销售, 渠道销售, 面销",民营,20-99人,银行
ai数据标注师,5千-1万,天津·和平·南市,经验不限,大专,江西上签商务咨询有限公司,20-99人,物联网,20-99人,物联网
大数据项目售前工程师,1.5万-2.2万,天津·西青·西营门,5-10年,本科,天津德尔塔科技有限公司,"软件产品, 智慧产品, AI, HADOOP生态, 可视化, 数据中台, , , ",民营,20-99人,计算机软件
