岗位名称,薪资,工作地点,工作经验,学历要求,企业,岗位需求,公司类型,岗位需求人数,企业服务
人工智能英语课程规划师,5千-1万,天津·河北·光复道,经验不限,本科,沈阳海贝未来教育科技有限公司,"英语, 教育机构, 教育工作经验, 教师培训经验, 小学教育, , , ",民营,20-99人,培训/辅导服务
语音厅主播、游戏玩、旅游顾问销售,5千-1万,天津·宝坻·海滨,1-3年,学历不限,天津市宝坻区百平信息咨询服务部(个体工商户),"说话声音好听，会聊天, 才艺类, 情感类",游戏类,20人以下,人工智能
网络销售,5千-1万,天津·大邱庄,经验不限,高中,天津市铭发钢铁销售有限公司,"人工智能, 互联网行业, 物联网, 机械/重工, 医疗设备/器械, , , , 民营, 20人以下",钢铁/有色金属冶炼及加工,人工智能,钢铁/有色金属冶炼及加工
阿里投资/月入1-3W/可小白/当月发薪-AI人工智能软件销售,1.1万-2.2万,天津·西青·西营门,经验不限,大专,探迹科技,"企业客户, KA大客户, 面销/陌拜, 电话销售, 网络销售",民营,1000-9999人,互联网
人工智能Ai应用工程师,1.5万-3万·14薪,天津·西青·精武镇,3-5年,本科,麦克微尔(天津)科技有限公司,,民营,100-299人,仪器仪表制造
情感主播,8千-1万,天津·西青·西营门,经验不限,学历不限,天津雨田木子网络科技有限公司,"倾听压力, 善于沟通, 情商高",情感主播,20人以下,人工智能
专柜服装销售+就近分配+五险一金+综合8K+,1万-2万·13薪,天津·武清·黄庄,经验不限,学历不限,内蒙古杰森人力资源有限公司,"女装店, 男装店, 内衣店, 奢侈品牌, 轻奢品牌, 潮牌, , , , , ",民营,100-299人,人力资源服务
人工智能业务总监,1万-2万,天津·西青·大寺,5-10年,本科,广电计量检测(天津)有限公司,市场推广,国企,1000-9999人,检测/认证
人工智能机械学习算法工程师,9千-1.8万,天津·滨海新区·泰达,经验不限,本科,天津健君科技有限公司,"深度学习算法, 推荐算法, TensorFlow, PyTorch, MapReduce",民营,20-99人,专业技术服务
销售业务员,5千-1万,天津·大邱庄,经验不限,高中,天津市铭发钢铁销售有限公司,"人工智能, 机械/重工, 农/林/牧/渔, 企业客户（2B）, 电话销售, , , , 民营, 20人以下",钢铁/有色金属冶炼及加工,人工智能,钢铁/有色金属冶炼及加工
电话销售 团体标准招商 双休 不加班 （武清）,7千-1万,天津·武清·杨村,1年以下,学历不限,悦野文化传播(北京)有限公司,,会议/展览,人工智能,会议/展览
人工职能教师,6千-8千,天津·河西·马场,无经验,本科,天津市经职人力资源顾问有限公司,"课程策划, 课程教授, 助理教师, 视觉图像算法, 自然语音处理, , , , , , ",国企,20-99人,人力资源服务
人工智能工程师,8千-1.2万·16薪,天津·滨海新区·泰达,经验不限,硕士,天津市天河计算机技术有限公司,,国企,20-99人,计算机软件
专职司机,5千-8千,天津·中北,5-10年,大专,天津市瀚通路桥工程有限公司,"商业保险, 环境好",民营,100-299人,工程施工
接听客服,8千-1万,天津·西青·中北,经验不限,学历不限,天津雨田木子网络科技有限公司,网络客服,接听客服,20人以下,人工智能
人工智能气候室（CER）性状助理,5千-8千,天津·武清·东蒲洼,1-3年,大专,北京齐禾生科生物科技有限公司,温室大棚技术,民营,20-99人,科学技术推广
ai人工智能算法工程师,2万-3万,天津·西青·杨柳青,1-3年,本科,鲲鹏神农制药设备(天津)有限公司,,民营,20-99人,电气机械/电力设备
普工/操作工（周末双休）,4千-5千,天津·西青·西营门,经验不限,中专/中技,天津优控智行科技有限公司,"电子测试, 线束",民营,100-299人,汽车研发/制造
招聘技工,6千-7千·13薪,天津·西青·大寺,3-5年,中专/中技,天津市富集科技有限公司,机电维修保养,民营,20人以下,仪器仪表制造
人工智能工程师,1万-2万,天津·滨海新区·大沽,3-5年,本科,天津北海油人力资源咨询服务有限公司,,国企,1000-9999人,专业技术服务
AI+伴学学管,3千-6千,天津·河北·建昌道,1-3年,大专,天津市乐福天睿课外培训学校有限公司,"培训机构, 学校, 线下授课, 小学教育, 初中教育, 高中教育, , ",,100-299人,培训/辅导服务
短视频演员,7千-1.4万·13薪,天津·西营门,经验不限,学历不限,天津天强科技有限公司,"短视频演员, 舞蹈演员, 平面模特, 广告模特",民营,20人以下,文化艺术/娱乐
工厂保洁员,3千-4千,天津·津南·双港,经验不限,学历不限,天津君宇科技股份有限公司,八小时工作制,上市公司,20-99人,通用设备制造
人工智能项目PI,1.4万-2.8万·14薪,天津·滨海新区·大沽,经验不限,博士,天津药物研究院,药理研究,其它,1000-9999人,科学技术推广
外贸业务员（人工智能设备）,1万-1.5万,天津·西青·张家窝,5-10年,本科,汇星海科技(天津)有限公司,熟悉跨境平台操作,股份制企业,20-99人,贸易/进出口
品牌女装店员+就近分配+五险一金+综合8K+,1万-2万·13薪,天津·西青·张家窝,经验不限,学历不限,内蒙古杰森人力资源有限公司,"女装店, 男装店, 内衣店, 奢侈品牌, 轻奢品牌, 潮牌, , , , , ",民营,100-299人,人力资源服务
电话销售,3千-6千,天津·河东·常州道,经验不限,学历不限,天津九象科技发展有限公司,"KA大客户, 企业客户",政府客户,20人以下,人工智能
人工智能算法工程师,1.2万-2万,天津·滨海新区·泰达,1-3年,硕士,天津(滨海)人工智能创新中心,"强化学习, C++, C语言",事业单位,100-299人,IT服务
技术总监（人工智能）,2.5万-3.5万,天津·滨海新区·天津生态城,5-10年,本科,尼尔森诺尔电气技术(天津)有限公司,"嵌入式硬件开发, 嵌入式软件开发, 单片机开发, C#, C语言",民营,300-499人,金属制品业
招聘组装工,4千-7千,天津·西青·大寺,1-3年,大专,天津阿备默机器人科技有限公司,,民营,20-99人,人工智能
AI项目创业合伙,3万-5万,天津·河北·光复道,3-5年,学历不限,睿瑞通文化传播(北京)有限公司,"品牌管理, 战略管理",民营,20-99人,文化艺术/娱乐
人工智能工程师,1万-2万,天津·西青·大寺,经验不限,本科,天津市联大通讯发展有限公司,"图像处理, 图像识别, C++, C#, TensorFlow, 深度学习, ",民营,20-99人,通信/网络设备
C/C++ 人工智能和机器视觉工程师,1.2万-2.4万,天津·河东·大王庄,1-3年,硕士,全源(天津)科技有限公司,,图像识别产品,人脸识别产品,计算机软件
行政文员,3千-4千,天津·河东·大王庄,经验不限,学历不限,天津安盛达电梯维修有限责任公司,"办公自动化, 后勤管理, 接待事务, 行政体系管理, 行政预算",民营,20-99人,专业技术服务
销售（大平台+综合薪资+7-8起+双休+五险一金）,7千-8千,天津·西青·西营门,经验不限,高中,北京快专网络科技有限公司,"KA大客户, 企业客户, 面销/陌拜, 电话销售",民营,20-99人,人工智能
心理倾听师,8千-1万,天津·西青·中北,经验不限,学历不限,天津雨田木子网络科技有限公司,20人以下,人工智能,20人以下,人工智能
服装促销员+五险一金+月7-10k左右+就近,8千-1.5万,天津·河东·上杭路,经验不限,学历不限,内蒙古杰森人力资源有限公司,服装店,民营,100-299人,人力资源服务
销售工程师,6千-8千,天津·西青·大寺,1-3年,本科,天津阿备默机器人科技有限公司,,民营,20-99人,人工智能
销售顾问,7千-1.2万,天津·武清·大王古庄,经验不限,大专,元厨(北京)科技有限公司,"电话销售, 网络销售, 外贸销售, 有责任心, 踏实",民营,100-299人,专用设备制造
大品牌服装销售+就近分配+五险一金+综合8K+,1万-2万·13薪,天津·西青·大寺,经验不限,学历不限,内蒙古杰森人力资源有限公司,"女装店, 男装店, 内衣店, 奢侈品牌, 轻奢品牌, 潮牌, , , , , ",民营,100-299人,人力资源服务
电梯工,5千-8千,天津·河东·大王庄,经验不限,学历不限,天津安盛达电梯维修有限责任公司,"电梯安装维修, 特种作业操作证 （电工）, 三级电工",民营,20-99人,专业技术服务
电话销售（无责底薪3500+绩效+提成）,5千-1万,天津·南开·长虹,1-3年,学历不限,天津松鼠人工智能科技有限公司,,民营,20-99人,培训/辅导服务
服装导购+五险一金+月7-10k左右+就近,8千-1.4万,天津·河东·上杭路,经验不限,学历不限,内蒙古杰森人力资源有限公司,"门店销售, 高提成, 五险一金, 全勤奖金, 年终奖金, 节日福利",民营,100-299人,人力资源服务
付费倾诉接听客服,8千-1万,天津·西青·中北,经验不限,学历不限,天津雨田木子网络科技有限公司,网络客服,倾听倾诉,20人以下,人工智能
销售业务员/经理,5千-1万,天津·西青·精武镇,经验不限,中专/中技,天津中安视通科技有限公司,"通信/网络设备, 电子/半导体, 网络/信息安全, 硬件行业, , , , ",民营,100-299人,电子设备制造
商务公关,8千-1.5万·13薪,天津·西营门,经验不限,学历不限,天津天强科技有限公司,"人工智能, 民营, 20人以下",文化艺术/娱乐,人工智能,文化艺术/娱乐
包装操作工,2千-4千,天津·南开·嘉陵道,1-3年,中专/中技,嘉思特医疗,,民营,300-499人,医疗设备/器械
IOT工程实习生,5千-6千,天津·津南·八里台,无经验,大专,山东松果信息科技有限公司,"硬件/设备运维, 系统运维, 软件运维",合资,100-299人,计算机软件
标注专员 周末双休 无夜班晚班,4千-5千,天津·西青·张家窝,1-3年,大专,深圳南区人瑞人力资源服务有限公司,"图像标注, 语音标注, 音频标注, 视频标注, 文本标注",上市公司,10000人以上,企业服务
区域销售经理（天津）,5千-8千,天津·南开·华苑,经验不限,大专,杭州埃欧哲建设工程咨询有限公司,"人工智能, 物联网, 房地产, 大客户（KA）, 企业客户（2B）, , , 民营, 20-99人",建筑设备安装,人工智能,建筑设备安装
招聘普工/操作工,7千-8千,天津·静海·子牙,经验不限,学历不限,内蒙古杰森人力资源有限公司,"包住, 厂内食堂, 两班倒",民营,100-299人,人力资源服务
兼职配音员（方言 外语 游戏 话术 信息流 短剧 商配）,0.1千-0.2千元/月,天津·西青·中北,1-3年,大专,淮安咪酷科技有限公司,"有声书配音, 游戏配音, 动漫配音, 广告配音, 影视配音, , , , , , ",民营,20人以下,计算机软件
电梯维保员（机械、电气相关专业应届）,5千-8千·13薪,天津·大王庄,经验不限,学历不限,天津安盛达电梯维修有限责任公司,"电梯安装维修, 安装调试, 三级电工, 全职兼职均可",民营,20-99人,专业技术服务
销售（智能家居）,5千-9千,天津·河西·尖山,1-3年,大专,天津恒久原环保科技发展有限公司,"人工智能, 物联网, 通信/网络设备, 家具/家电, 个人客户（2C）, , , , 股份制企业, 100-299人",房地产开发,人工智能,房地产开发
招聘普工/操作工,5千-7千,天津·武清·南蔡村,经验不限,初中及以下,天津京达鸿盛精密模具制造有限公司,,民营,20-99人,人工智能
抖音带货主播,6千-1.1万,天津·西青·大寺,经验不限,学历不限,诞凰派文化传媒(天津)有限公司,"抖音, 服装, 美妆产品, 母婴用品, 快手, 淘宝",合资,20人以下,企业服务
ai训练师/数据标注,6千-1.1万,天津·红桥·芥园,3-5年,本科,位来小猎(宁波)信息技术有限公司,"图像标注, 语音标注, 文本标注, 音频标注, AI训练, 大模型, , ",合资,300-499人,计算机软件
销售内勤专员,4千-6千,天津·红桥·邵公庄,1-3年,大专,博通达(天津)技术有限公司,"订单管理, 销售数据分析",民营,20-99人,零售/批发
兼职市场推广员,3千-6千,天津·南开·长虹,经验不限,高中,天津松鼠人工智能科技有限公司,,民营,20-99人,培训/辅导服务
武清区南蔡村质检包吃住,6千-8千,天津·武清·南蔡村,经验不限,学历不限,天津京达鸿盛精密模具制造有限公司,成品检验（FQC）,民营,20-99人,人工智能
品牌服装导购+五险+月综合7-10k左右,9千-1.5万,天津·河西·越秀路,经验不限,学历不限,内蒙古杰森人力资源有限公司,"女装店, 男装店, 运动品牌, 潮牌, 奢侈品牌, 门店销售, , , , ",民营,100-299人,人力资源服务
课程销售顾问,5千-1万,天津·南开·长虹,经验不限,学历不限,天津松鼠人工智能科技有限公司,,民营,20-99人,培训/辅导服务
PLC安装调试助理,5千-6千,天津·津南·双港,1-3年,学历不限,天津鼎固自动化设备有限公司,"PLC, PLC安装调试，配线, 西门子",民营,20人以下,人工智能
工厂包装工,5千-1万,天津·滨海新区·泰达,经验不限,大专,亚太智能装备(天津)有限公司,"全勤奖金, 五险一金, 包吃",加班补贴,20-99人,人工智能
轻松躺平赚高薪,8千-1.2万,天津·南开·水上公园,无经验,中专/中技,诞凰派文化传媒(天津)有限公司,"个人客户, 合资, 20人以下",企业服务,个人客户,企业服务
档案管理员,6千-8千,天津·河西·马场,经验不限,大专,天津市东丽区奥普瑞森商贸有限公司,"档案整理, 档案保管, 档案编辑, 档案录入, 档案管理系统建设, , ",,20-99人,电子商务
产品推广,1万-2万元/月,天津·河西·下瓦房,经验不限,学历不限,武汉市商谷云创信息技术有限公司,"信息流推广, 新媒体推广, 搜索引擎推广",民营,20-99人,人工智能
猎头顾问助理,6千-1万·13薪,天津·河西·大营门,经验不限,本科,华世先达咨询(北京)有限公司,芯片,IT/互联网,人工智能,人力资源服务
临时工,3千-6千,天津·南开·长虹,经验不限,高中,天津松鼠人工智能科技有限公司,,民营,20-99人,培训/辅导服务
销售助理,4千-8千,天津·南开·学府,经验不限,大专,天津润松科技发展有限公司,客户支持,其它,20人以下,计算机硬件
招普工/操作工-月入7000,5千-7千,天津·武清·东蒲洼,经验不限,中专/中技,天津京达鸿盛精密模具制造有限公司,,民营,20-99人,人工智能
行政专员,4千-6千,天津·南开·学府,1-3年,学历不限,燧世(天津)智能科技有限公司,内勤管理,民营,20-99人,医疗设备/器械
售后跟单员,3千-6千,天津·西青·西营门,经验不限,大专,全网(天津)科技有限公司,,互联网行业,人工智能,互联网
7500无责底薪加双休加早九晚六加提成,9千-1.7万,天津·河西·桃园,经验不限,大专,晨宇金融科技,,其它,20-99人,计算机软件
自动化销售,5千-1万·20薪,天津·西青·精武镇,经验不限,大专,天津泰合自动化科技有限公司,"企业客户, KA大客户, 院校客户, 渠道销售, 面销/陌拜, ",民营,20-99人,人工智能
高薪AI智能销售-月入1-3w-阿里投资-可小白,1.2万-2.4万,天津·西青·西营门,经验不限,大专,探迹科技,"企业客户, KA大客户, 面销/陌拜, 电话销售, 网络销售, ",民营,1000-9999人,互联网
专职商务司机,5千-6千,天津·西青·精武镇,3-5年,中专/中技,天津戎行集团有限公司,,行政司机,军人,人工智能
物联网销售工程师,4千-8千,天津·河东·上杭路,经验不限,大专,天津宝桥能源科技有限公司,"软件行业, 环保",物联网,人工智能,环保
兼职招生顾问,3千-4千,天津·南开·长虹,经验不限,高中,天津松鼠人工智能科技有限公司,"培训机构, 托管班, 在线教育平台, 小学教育, 初中教育, , , , ",民营,20-99人,培训/辅导服务
销售专员,4千-8千·13薪,天津·西青·精武镇,经验不限,学历不限,天津天强科技有限公司,"企业客户, KA大客户, 网络销售, 渠道销售, 面销/陌拜",民营,20人以下,文化艺术/娱乐
销售工程师,5千-1万,天津·北辰·天穆,经验不限,大专,天津仁和信恒工业控制技术有限公司,,其它,20-99人,零售/批发
日语翻译,7千-1.1万,天津·武清·东蒲洼,经验不限,学历不限,海棠人工智能行业应用系统(天津)有限公司,"口译, 口语好, 日语N1, 日语N2",民营,100-299人,人工智能
招生咨询师,6千-1.2万,天津·南开·长虹,1-3年,大专,天津松鼠人工智能科技有限公司,"小学教育, 初中教育, 高中教育",民营,20-99人,培训/辅导服务
招聘普工/操作工,6千-8千·13薪,天津·西青·张家窝,经验不限,学历不限,经纬恒润,长白班,民营,1000-9999人,电子/半导体/集成电路
招焊工-月入6000,5千-6千,天津·津南·双港,1-3年,学历不限,天津鼎固自动化设备有限公司,"手工电弧焊工艺, 氩弧焊工艺, 气焊工艺",民营,20人以下,人工智能
招车工-月入11000,1万-1.1万,天津·东丽·新立,5-10年,学历不限,天津柯斯特机电设备有限公司,"广数, 车床设备, 包吃包住",五险一金,20-99人,人工智能
招CNC/数控操作-月入9000,6千-9千,天津·武清·东蒲洼,3-5年,中专/中技,天津京达鸿盛精密模具制造有限公司,,民营,20-99人,人工智能
一对一课程顾问,4千-8千,天津·河西·尖山,1-3年,大专,天津灵瑞科技有限公司,"五险一金, 带薪培训, 交通补贴, 通讯补贴, 托管班, 培训机构, , , , , , ",民营,20人以下,培训/辅导服务
兼职,3千-5千,天津·南开·长虹,经验不限,学历不限,天津松鼠人工智能科技有限公司,,民营,20-99人,培训/辅导服务
电梯维保员,5千-9千,天津·大王庄,经验不限,大专,天津安盛达电梯维修有限责任公司,"售后维修, 安装调试, 安全防护, 故障处理, 硬件设备安装维修, , ",民营,20-99人,专业技术服务
销售助理,4千-6千,天津,1-3年,大专,天津海纳星辉科技有限公司,"资料管理, 录入, 电销",民营,20-99人,计算机硬件
招生销售,6千-1万,天津·南开·长虹,1-3年,学历不限,天津松鼠人工智能科技有限公司,"做过地推者优先, 带薪培训, 年终奖金, 五险, 托管班, 培训机构, , , , , , , ",民营,20-99人,培训/辅导服务
销售,1.2万-2万,天津·河西·大营门,3-5年,学历不限,上海飒智智能科技有限公司,,民营,100-299人,人工智能
销售工程师,4千-6千,天津·西青·西营门,经验不限,大专,全网(天津)科技有限公司,,电子商务,人工智能,互联网
招普工/操作工-月入6000,5千-6千,天津·武清·东蒲洼,经验不限,初中及以下,天津京达鸿盛精密模具制造有限公司,,民营,20-99人,人工智能
文员,3千-4千,天津·东丽·华明,1-3年,大专,天津合智达科技有限公司,后勤管理,民营,20-99人,工业自动化
网络销售,5千-6千,天津·东丽·华明,经验不限,大专,天津神悦电子科技有限公司,,电子商务,人工智能,仪器仪表制造
行政专员,3千-5千,天津·西青·中北,经验不限,本科,华生科技(天津)有限公司,"接待事务, 直播",民营,20-99人,人工智能
工厂门卫,3千-4千,天津·东丽·军粮城,1-3年,学历不限,天津飞马机器人科技有限公司,"包吃包住, 五险一金, 倒班制, 工厂",民营,300-499人,人工智能
计算机教师,6千-8千,天津·河西·马场,无经验,本科,天津市经职人力资源顾问有限公司,,C/C++,人工智能,人力资源服务
招生老师,7千-1.4万,天津·南开·长虹,经验不限,学历不限,天津松鼠人工智能科技有限公司,"带薪培训, 年终奖金, 通讯补贴, 培训机构, 托管班, 小学教育, , , , ",民营,20-99人,培训/辅导服务
技术销售工程师,1万-2万,天津·河东·向阳楼,经验不限,中专/中技,天津四方同创科技有限公司,"人工智能, 物联网, 硬件行业, 院校客户, 电力, 渠道销售, , , 民营, 20人以下",工业自动化,人工智能,工业自动化
乐高教师、机器人少儿编程教师（全市）,1.5万-3万,天津·河北·建昌道,1-3年,大专,天津市北辰区智酷乐高儿童娱乐中心,"教师, 早教, 线下授课, 全职兼职均可",民营,20-99人,培训/辅导服务
销售内勤专员,4千-6千,天津·南开·嘉陵道,1年以下,本科,嘉思特医疗,,民营,300-499人,医疗设备/器械
数据标注（五险一金 小白也可）,5千-6千,天津·西青·张家窝,1-3年,大专,艾立拓科技发展(天津)有限公司,"图像标注, 语音标注, 音频标注, 视频标注",民营,20-99人,企业服务
销售工程师,5千-1万,天津·开发区西区,1-3年,大专,天津市昊瑞特科技有限公司,工业自动化,机械/重工,人工智能,仪器仪表制造
招聘组装工,5千-6千,天津·东丽·军粮城,1-3年,中专/中技,天津飞马机器人科技有限公司,"焊接组装, 调试/测试",民营,300-499人,人工智能
电梯维保（机械、电气相关专业应届）,4千-7千,天津·河东·大王庄,经验不限,学历不限,天津安盛达电梯维修有限责任公司,"电梯安装维修, 安装调试, 安装维修, 特种作业操作证 （电工）, , ",民营,20-99人,专业技术服务
招生顾问,8千-1.5万,天津·南开·长虹,1-3年,学历不限,天津松鼠人工智能科技有限公司,"通讯补贴, 带薪培训, 年终奖金, 培训机构, 托管班, 高中教育, , , , , ",民营,20-99人,培训/辅导服务
销售经理,8千-1.6万,天津·新技术产业园,经验不限,大专,天津优控智行科技有限公司,"人工智能, 电子/半导体, 面销, 电销, 民营, 100-299人",汽车研发/制造,人工智能,汽车研发/制造
招聘CNC/数控操作,6千-9千,天津·西青·精武镇,3-5年,学历不限,天津泰合自动化科技有限公司,,民营,20-99人,人工智能
招生老师课程顾问,7千-1.4万,天津·南开·长虹,1-3年,学历不限,天津松鼠人工智能科技有限公司,"带薪培训, 年终奖金, 培训机构, 托管班, 小学教育, 初中教育, , , , ",民营,20-99人,培训/辅导服务
hr人力资源实习生,4千-6千,天津·东丽·军粮城,经验不限,学历不限,天津飞马机器人科技有限公司,招聘,员工关系,人事培训,人工智能
大厂试用期全薪 双休 不加班 大模型标注-用户反馈方向,9千-1.2万,天津·红桥·芥园,1-3年,本科,位来小猎(宁波)信息技术有限公司,"数据标注, 反馈收集, 用户反馈, BOT模型",合资,300-499人,计算机软件
课程电话销售,5千-1万,天津·南开·长虹,1-3年,学历不限,天津松鼠人工智能科技有限公司,"带薪培训, 年终奖金, 培训机构, 托管班, 初中教育, 小学教育, , , , ",民营,20-99人,培训/辅导服务
计算机软件销售,8千-1.6万,天津·西青·西营门,经验不限,大专,天津市新程教育科技有限公司,"政府客户, 院校客户, 企业客户, 面销/陌拜",民营,20-99人,培训/辅导服务
招铣工-月入10000,8千-1万,天津·西青·精武镇,5-10年,学历不限,天津泰合自动化科技有限公司,,民营,20-99人,人工智能
总经理助理,8千-1万·13薪,天津·新技术产业园,经验不限,大专,天津天强科技有限公司,"商务接待, 差旅管理, 秘书, 商务谈判",民营,20人以下,文化艺术/娱乐
生产工艺员,4千-7千,天津·武清·东蒲洼,1-3年,大专,北京声科测声学技术有限公司,编制生产工艺和工艺指导书及培训,有生产工艺和技术管理经验,20-99人,人工智能
销售代表,6千-7千,天津·西青·西营门,3-5年,大专,天津市盛世飞扬科技有限公司,"面销, 院校客户, 政府客户, 音视频, 系统集成",民营,20-99人,广播/影视
招生宣传,5千-1万,天津·南开·长虹,1-3年,学历不限,天津松鼠人工智能科技有限公司,"通讯补贴, 年终奖金, 带薪培训, 培训机构, 托管班, 小学教育, , , , , ",民营,20-99人,培训/辅导服务
运营专员,5千-7千,天津·南开·嘉陵道,1年以下,本科,嘉思特医疗,数据运营,民营,300-499人,医疗设备/器械
销售工程师（天津地区）,5千-8千,天津·津南·双港,1-3年,中专/中技,北京华北兴业技术有限公司,,民营,100-299人,计算机硬件
应届毕业生来/CAD计算机专业优先/月薪7000左右,6千-8千,天津·津南·咸水沽,1-3年,大专,天津职海速聘人力资源有限公司,"CAD, PS, 3D MAX",股份制企业,300-499人,人力资源服务
招聘注塑工,5千-7千,天津·武清·南蔡村,经验不限,初中及以下,天津京达鸿盛精密模具制造有限公司,发那科,民营,20-99人,人工智能
日语外贸售后咨询,7千-1万,天津·武清·徐官屯,经验不限,大专,海棠人工智能行业应用系统(天津)有限公司,"N2, N1, 外贸日语翻译, 日语口译, 日语笔译, 商务日语翻译",民营,100-299人,人工智能
销售团队经理,7千-1.4万,天津·武清·大王古庄,1-3年,大专,元厨(北京)科技有限公司,"电话销售, 网络销售",民营,100-299人,专用设备制造
7500无责底薪双休早九晚六交保险,1.1万-1.9万,天津·滨海新区·中塘,经验不限,大专,晨宇金融科技,,其它,20-99人,计算机软件
销售内勤,4千-6千,天津·武清·杨村,经验不限,大专,天津北亚检测技术有限公司,"人工智能, 通信/网络设备, 电子/半导体, 光学行业, 环保, , , , 民营, 20-99人",检测/认证,人工智能,检测/认证
渠道销售工程师,6千-1.2万,天津·河东·上杭路,经验不限,大专,天津宝桥能源科技有限公司,"软件行业, 环保",物联网,人工智能,环保
电气销售工程师,4千-6千,天津·南开·鼓楼,无经验,学历不限,天津丰年伟业科技有限公司,,面销,人工智能,工业自动化
招注塑工-月入7000,5千-7千,天津·武清·东蒲洼,经验不限,初中及以下,天津京达鸿盛精密模具制造有限公司,发那科,民营,20-99人,人工智能
ai智能产品销售,8千-1万,天津·西青·精武镇,1-3年,本科,天津启能科技开发有限公司,"企业客户, 政府客户, 渠道销售, 网络销售, 面销/陌拜",民营,20-99人,新能源
销售,4千-8千,天津·天宝工业园,1-3年,中专/中技,恒致远(北京)智能电气有限公司,"能源/电力, 军工, 新能源, 医疗设备/器械, 石油/石化, , , ",民营,20-99人,电气机械/电力设备
IT项目渠道销售合伙人,4万-8万,天津·和平·五大道,3-5年,大专,天津数米科技有限公司,"渠道销售, 网络销售, 面销/陌拜",股份制企业,20人以下,计算机软件
天津销售工程师,5千-1万,天津·津南·咸水沽,经验不限,大专,北京微视新纪元科技有限公司,"电话销售, 网络销售, 渠道销售, 销售专员, 初级销售, 高级销售, , ",民营,100-299人,计算机软件
滑台模组销售,5千-1万·20薪,天津·西青·精武镇,1-3年,大专,天津泰合自动化科技有限公司,,民营,20-99人,人工智能
市场专员,6千-1.2万,天津·红桥·芥园,3-5年,大专,天津聪友科技有限公司,"市场推广, 活动执行, 市场专员, 营销策划, 会务管理, 活动策划, ",民营,20-99人,计算机软件
top大厂 试用期全薪 双休不加班 用户反馈（大模型方向）,8千-1.2万,天津·红桥·芥园,1-3年,本科,位来小猎(宁波)信息技术有限公司,"用户反馈, C端用户, B端用户, BOT模型, 大模型, ",合资,300-499人,计算机软件
保安员,3千-4千,天津·东丽·军粮城,1-3年,学历不限,天津飞马机器人科技有限公司,"小区, 写字楼, 倒班制, 五险一金, 包吃包住",民营,300-499人,人工智能
机械装配工,4千-6千,天津·西青·中北,1-3年,学历不限,威同智能科技(天津)有限公司,装配,股份制企业,20-99人,工业自动化
ToB销售专员（30%提成+阿里投资+当月发薪）,1.5万-3万,天津·西青·西营门,经验不限,大专,探迹科技,"企业客户, 电话销售, 面销/陌拜, B端销售, 当月发薪, ",民营,1000-9999人,互联网
信息化软件系统销售经理,6千-1.2万·13薪,天津·东丽·华明,经验不限,大专,天津耘和智能科技有限公司,ERP,民营,20-99人,互联网
销售工程师,9千-1.8万,天津·西青·西营门,3-5年,大专,天津市三特电子有限公司,,民营,20-99人,仪器仪表制造
销售工程师,6千-1万,天津·西青·张家窝,1-3年,学历不限,天津创智恒信智能科技发展有限公司,区域销售,民营,20人以下,建筑设备安装
数控磨床工艺工程师,5千-8千,天津·果园新村,1-3年,中专/中技,天津尚盈科技有限公司,"CAD, 装配工艺",民营,20人以下,贸易/进出口
cnc编程操机,8千-1万,天津·西青·精武镇,5-10年,学历不限,天津泰合自动化科技有限公司,CNC,民营,20-99人,人工智能
销售经理,7千-1.2万,天津·津南·双港,3-5年,大专,天津华大科技有限公司,区域销售,民营,20-99人,人工智能
销售助理,4千-6千,天津·滨海新区·泰达,3-5年,大专,天津赛威工业技术有限公司,"内勤管理, 订单管理, 客户支持, 资料管理",民营,20-99人,工业自动化
英语客服（会韩语）,6千-8千,天津·武清,经验不限,大专,海棠人工智能行业应用系统(天津)有限公司,"office, 售后客服, 售前客服, 电商客服, 非销售客服, 倒班制, ",民营,100-299人,人工智能
自动化装配钳工,6千-1万,天津·北辰·宜兴埠,3-5年,中专/中技,天津施格自动化科技有限公司,"安装/调试, 机械设备, AutoCAD, 装配工艺",民营,20-99人,工业自动化
天津初级PCB工程师,8千-1万,天津·津南·咸水沽,经验不限,本科,北京微视新纪元科技有限公司,PCB设计,民营,100-299人,计算机软件
咨询顾问,6千-1.1万,天津·南开·长虹,经验不限,学历不限,天津松鼠人工智能科技有限公司,"带薪培训, 年终奖金, 通讯补贴, 培训机构, 托管班, 初中教育, , , , ",民营,20-99人,培训/辅导服务
销售业务员,5千-1万,天津·西青·张家窝,1-3年,大专,天津市精工电梯工程有限公司,,民营,100-299人,专业技术服务
招注塑工-月入10000,8千-1万,天津·武清·东蒲洼,5-10年,中专/中技,天津京达鸿盛精密模具制造有限公司,,民营,20-99人,人工智能
招生顾问,4千-8千,天津·南开·长虹,1-3年,学历不限,天津松鼠人工智能科技有限公司,"带薪培训, 年终奖金, 培训机构, 托管班, 高中教育, 初中教育, , , , ",民营,20-99人,培训/辅导服务
日语客服（非电话岗）,6千-7千,天津·武清·东蒲洼,经验不限,学历不限,海棠人工智能行业应用系统(天津)有限公司,"笔译, 日语N1, 日语N2",民营,100-299人,人工智能
软件销售,6千-1.2万,天津·西青·西营门,经验不限,大专,天津市新程教育科技有限公司,"院校客户, 政府客户, 面销/陌拜",民营,20-99人,培训/辅导服务
